,Bulgaria,Sweden,CN: Liaoning  Province,CN: Heilongjiang  Province,CN: Shanxi Province,CN: Shaannxi  Province,CN: Hebei Province,CN: Beijing,CN: Jiangsu  Province,CN: Fujian  Province,CN: Shandong  Province,CN: Zhejiang  Province,CN: Shanghai,CN: Guangdong  Province,CN: Hunan  Province,CN: Hubei  Province,CN: Henan  Province,CN: Jiangxi  Province,CN: Anhui  Province,CN: Guizhou Province,CN: Guangxi  Province,Cyprus,Finland,Italy,Poland,Romania,Slovenia,Great Britain,France,Germany,IN: Assam,IN: Karnataka,IN: Punjab,IN: Kerala,IN: Orrisa,IN: Andhra Pradesh,IN: Bihar,IN: Gujarat,IN: Madhya Pradesh,IN: Maharashtra,IN: Rajasthan,IN: Tamil Nadu,IN: Uttar Pradesh,IN: West Bengal,Netherlands,Spain,US: West North Central,US: East South Central,US: South Atlantic,US: Middle Atlantic States,US: East North Central,US: New England,US: West South Central,US: Rocky Mountain state,US: California,Hungary,US: Pacific,Estonia,CN: Gansu
CN: Shandong  Province,0.143956533,0.277541797,0.035309415,0.031100321,0.020332621,0.029061825,0.04285938,0.039545214,0.044967071,0.074991885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Zhejiang  Province,0.178618994,0.386453653,0.043630204,0.060362567,0.05131365,0.068854798,0.08125052,0.052630255,0.057527585,0.064037674,0.072716039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Shanghai,0.200805717,0.453410816,0.055829352,0.05802399,0.04662714,0.062174759,0.07642183,0.051259613,0.070401188,0.095024872,0.064265946,0.061839827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Guangdong  Province,0.120825162,0.329176393,0.03903001,0.038531423,0.041644118,0.054457985,0.067017697,0.046873779,0.057790952,0.05922057,0.043633231,0.049468378,0.053228211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Hunan  Province,0.20869014,0.405238458,0.05163426,0.037371173,0.040612429,0.044304964,0.051183661,0.061032637,0.047489355,0.065191297,0.05352451,0.068870366,0.068898097,0.044216466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Hubei  Province,0.171338957,0.343737082,0.041031096,0.029709859,0.030879811,0.0319403,0.05420007,0.036866381,0.056237312,0.067645317,0.01986738,0.062641653,0.067684337,0.036069511,0.049898285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Henan  Province,0.154727733,0.377331792,0.028783504,0.027956564,0.028227155,0.037836861,0.048292632,0.039205323,0.040860534,0.053227387,0.025067203,0.052518984,0.058889554,0.029539701,0.028846586,0.025942683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Jiangxi  Province,0.196365968,0.494097016,0.047844523,0.04148622,0.045224616,0.043162219,0.051930864,0.049923437,0.063047418,0.048885937,0.054408155,0.06346016,0.061960505,0.043644276,0.049020923,0.043170952,0.036440428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Anhui  Province,0.20691567,0.513315643,0.052230412,0.03341174,0.033965167,0.04525383,0.04231518,0.047928917,0.072639988,0.064686081,0.047065596,0.07254742,0.061612718,0.055116775,0.043726495,0.037367259,0.036538832,0.037544435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Guizhou Province,0.199288452,0.407749751,0.043128674,0.03519796,0.030908292,0.041505685,0.03496455,0.052398535,0.05549341,0.063146625,0.041272846,0.063543417,0.067581073,0.042046959,0.028843929,0.040302394,0.03001217,0.041596973,0.029690564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
